Load More,Xem thêm
Cancelling documents,Đang hủy bỏ
Cancel All,Hủy bỏ tất cả
Do you want to cancel all linked documents?,Bạn chắc chắn muốn hủy bỏ toàn bộ bản ghi liên quan?
{0} {1} is linked with the following submitted documents:,{0} {1} đang được liên kết với các bản ghi khác:
Cancel All Documents,Hủy bỏ toàn bộ bản ghi
Select or drag across time slots to create a new event.,_
ToDo,Ghi chú
Task,Việc
Holiday List,Danh sách ngày nghỉ
Event,Sự kiện
{0} Calendar,Lịch {0}
August,Tháng 8
Hide Weekends,Ẩn cuối tuần
Day,Ngày
Week,Tuần
Month,Tháng
Stock Ledger Custom 2,Sổ cái
Not Started,Chưa bắt đầu
Invalid Quantity,Số lượng không hợp lệ
Row #{0}: Quantity for Item {1} cannot be zero.,Dòng #{0}: Số lượng mặt hàng {1} phải lớn hơn 0.
Stock UOM,Đơn vị tồn kho
Shift Handover,Biên bản giao ca
Custom Supplier,Nhà cung cấp
Export Report:,Xuất báo cáo:
Portrait,Chiều dọc
Landscape,Chiều ngang
Orientation,In theo kiểu
With Letter head,Đính kèm tiêu đề
Totals,Tổng kết
Image View,Xem kiểu ảnh
New Report name,Tên báo cáo mới
Save As,Lưu thành
Toggle Chart,Tạo biểu đồ
Show Totals,Tổng kết báo cáo
Pick Columns,Chọn cột
Average,Trung bình
Sum,Tổng
Count,Đếm
Select Group By...,Gộp nhóm theo...
Report:,Báo cáo:
Remove column,Xóa cột
Reset sorting,Đặt lại sắp xếp
Add Group,Thêm nhóm
Stock Ledger Custom,Báo cáo nhập xuất kho
Cannot cancel {0}.,Không thể hủy bỏ {0}
Cancel {0} documents?,Hủy bỏ {0} bản ghi?
Cancel 1 documents?,Hủy bỏ 1 bản ghi?
Delete comment?,Xóa bình luận?
Get notified when an email is received on any of the documents assigned to you.,Bạn sẽ nhận được thông báo khi có email gửi đến bất kỳ tài liệu nào được phân công cho bạn.
System Notifications,Thông báo hệ thống
Event Reminders,Nhắc nhở về sự kiện
Document Share,Chia sẻ tài liệu
Email Threads on Assigned Document,Trao đổi email về tài liệu được giao
Assignments,Phân công
Mentions,Đề cập
Enable Email Notifications,Bật thông báo qua Email
Email Settings,Cài đặt Email
Open Documents,Chọn tài liệu
There is nothing new to show you right now.,Hiện chưa có cập nhật mới
Nothing New,Chưa có gì mới
There are no upcoming events for you.,Hiện chưa có sự kiện mới nào
No Upcoming Events,Không có sự kiện mới
Notifications,Thông báo
Events,Sự kiện
What's New,Cập nhật mới
No New notifications,Chưa có thông báo
Looks like you haven’t received any notifications.,Bạn chưa nhận được thông báo mới nào
No permission for {0},Không được truy cập chức năng {0}
